name,team,position,predicted_points,cost (M)
Tyrone Mings,Aston Villa,DEF,6.739490985870361,£4.4M
Pervis Estupiñán,Brighton,DEF,7.683516502380371,£5.0M
Marc Guéhi,Crystal Palace,DEF,14.929460525512695,£4.5M
Maxence Lacroix,Crystal Palace,DEF,7.724563121795654,£4.5M
Dan Burn,Newcastle,DEF,7.199381351470947,£4.4M
Ollie Watkins,Aston Villa,FWD,7.508614540100098,£8.9M
Jean-Philippe Mateta,Crystal Palace,FWD,7.941020488739014,£7.2M
Alexander Isak,Newcastle,FWD,17.3433837890625,£9.3M
Emiliano Martínez Romero,Aston Villa,GK,7.498740196228027,£5.0M
Martin Dúbravka,Newcastle,GK,11.164877891540527,£4.2M
Mitoma Kaoru,Brighton,MID,8.787881851196289,£6.4M
Cole Palmer,Chelsea,MID,8.81395149230957,£11.4M
Alex Iwobi,Fulham,MID,14.613018035888672,£5.9M
Phil Foden,Man City,MID,14.201240539550781,£9.2M
Amad Diallo,Man Utd,MID,21.73747444152832,£5.4M
